#header_line 1:mpirun -np 2 -ppn=1 -env I_MPI_DEBUG 5 -host ct1pt-tnode007,ct1pt-tnode009 ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007,ct1pt-tnode009 
#header_line 3: 1.1299999932867164 12231.060255112547
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,1.13,0.0,1.1299999932867164,0.0
1,1000,1.13,0.88,1.1300817523475943,0.8848917327641413
2,1000,1.13,1.76,1.1301635114084723,1.769655434643691
4,1000,1.13,3.53,1.1303270295302283,3.5387988568781084
8,1000,1.13,7.07,1.1306540657737403,7.075550552701866
16,1000,1.13,14.13,1.1313081382607642,14.142919562655912
32,1000,1.16,27.57,1.132616283234812,28.253169651248797
64,1000,1.35,47.58,1.1352325731829072,56.37611315235614
128,1000,1.39,92.38,1.140465153079098,112.23490665577789
256,1000,1.64,155.74,1.1509303128714796,222.42875796823907
512,1000,1.73,296.17,1.1718606324562426,436.91202334089684
1024,1000,1.91,536.45,1.2137212716257688,843.6862926760451
2048,1000,2.55,803.78,1.2974425499648214,1578.4899300978907
4096,1000,3.36,1218.98,1.4648851066429265,2796.123724260391
8192,1000,4.3,1903.17,1.7997702199991363,4551.6921599046855
16384,1000,5.92,2768.18,2.4695404467115565,6634.43274307046
32768,1000,9.68,3385.79,3.8090809001363963,8602.600170247535
65536,640,12.59,5205.34,6.488161806986077,10100.857831479268
131072,320,21.64,6056.62,11.846323620685437,11064.360910344274
262144,160,32.62,8037.15,22.562647248084158,11618.494812139528
524288,80,55.08,9518.78,43.9952945028816,11916.910795213798
1048576,40,98.57,10637.81,86.86058901247648,12071.94208468221
2097152,20,183.78,11411.47,172.59117803166623,12150.980275569034
4194304,10,353.69,11858.54,344.0523560700458,12190.888758646022
8388608,5,697.66,12023.97,686.9747121468048,12210.94146796975
16777216,2,1385.5,12109.13,1372.819424300323,12220.992581417435
33554432,1,2759.77,12158.43,2744.508848607359,12226.024345677173
67108864,1,5512.6,12173.72,5487.887697221432,12228.541781927832
134217728,1,11033.81,12164.23,10974.645394449577,12229.800888863396
268435456,1,22074.85,12160.24,21948.160788905865,12230.430539568766
536870912,1,43888.77,12232.53,43895.19157781845,12230.745389235228
