#header_line 1:mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 0.4299999731468648 2351.807070569124
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.43,0.0,0.4299999731468648,0.0
1,1000,0.43,2.3,0.4304251780935265,2.3232841638801887
2,1000,0.43,4.62,0.43085038304018825,4.641982643458499
4,1000,0.43,9.23,0.43170079293351166,9.265676749905946
8,1000,0.43,18.51,0.43340161272015854,18.458629975531473
16,1000,0.43,37.0,0.4368032522934523,36.62976389482309
32,1000,0.47,67.99,0.4436065314400398,72.13599830489711
64,1000,0.47,135.15,0.45721308973321484,139.9784945731632
128,1000,0.57,224.68,0.4844262063195649,264.2301310915482
256,1000,0.61,420.77,0.538852439492265,475.0836801281193
512,1000,0.82,627.55,0.6477049058376654,790.4834368018865
1024,1000,7.37,138.93,0.8654098385284659,1183.2544008757739
2048,1000,1.05,1950.35,1.300819703910067,1574.391896005282
4096,1000,1.53,2680.66,2.1716394346732693,1886.1326307680804
8192,1000,1.96,4185.89,3.913278896199674,2093.3851681145306
16384,1000,3.31,4947.84,7.396557819252483,2215.0844217500908
32768,1000,11.52,2845.2,14.363115665358102,2281.399159030098
65536,640,19.32,3391.91,28.296231357569336,2316.068142497319
131072,320,38.19,3431.78,56.16246274199181,2333.8007915026756
262144,160,74.99,3495.84,111.89492551083676,2342.7693329543526
524288,80,163.95,3197.77,223.35985104852665,2347.2795022866235
1048576,40,331.65,3161.69,446.28970212390647,2349.541105272639
2097152,20,661.1,3172.21,892.149404274666,2350.6735418436147
4194304,10,1311.56,3197.94,1783.868808576185,2351.240169588329
8388608,5,2683.44,3126.07,3567.3076171792236,2351.5235859118657
16777216,2,10175.92,1648.72,7134.1852343853,2351.665319697235
33554432,1,14405.0,2329.36,14267.940468797453,2351.7361929971717
67108864,1,27827.98,2411.56,28535.45093762176,2351.7716312491216
134217728,1,61845.23,2170.22,57070.47187527037,2351.7893507756135
268435456,1,116809.93,2298.05,114140.5137505676,2351.798210638991
536870912,1,229337.25,2340.97,228280.59750116206,2351.8026405957125
