#header_line 1:mpirun -np 2 --mca pml ob1 --report-bindings  --map-by core --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 9.221428571427907 2630.624973699924
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,11.37,0.0,9.221428571427907,0.0
1,1000,11.48,0.09,9.22180870923166,0.10843859719177777
2,1000,5.0,0.4,9.222188847035413,0.21686825472489915
4,1000,11.47,0.35,9.22294912264292,0.4337007552367115
8,1000,4.98,1.61,9.22446967385793,0.8672585289831819
16,1000,11.47,1.39,9.227510776287955,1.7339454147390856
32,1000,11.48,2.79,9.233592981148002,3.4656065158312273
64,1000,11.48,5.58,9.245757390868096,6.922093809557657
128,1000,11.54,11.09,9.270086210308287,13.807854328006645
256,1000,5.09,50.29,9.318743849188667,27.471513772995117
512,1000,11.6,44.13,9.416059126949428,54.37518956679231
1024,1000,12.2,83.91,9.610689682470946,106.54802452603231
2048,1000,18.53,110.53,9.999950793513987,204.80100775379233
4096,1000,12.87,318.26,10.778473015600067,380.01672352583836
8192,1000,13.21,620.08,12.335517459772227,664.0986101081862
16384,1000,15.42,1062.83,15.449606348116546,1060.4800944975123
32768,1000,33.73,971.35,21.677784124805186,1511.5936117522565
65536,640,48.57,1349.39,34.134139678182464,1919.9546441736945
131072,320,81.01,1618.05,59.046850784937014,2219.79662348795
262144,160,138.68,1890.23,108.87227299844612,2407.812317868494
524288,80,170.25,3079.47,208.52311742546433,2514.291971428081
1048576,40,148.84,7045.15,407.82480627950076,2571.1432552765405
2097152,20,935.33,2242.14,806.4281839875737,2600.5440306291616
4194304,10,1249.89,3355.74,1603.6349394037193,2615.498014504206
8388608,5,2762.53,3036.57,3198.048450236011,2623.0396851495275
16777216,2,6414.61,2615.47,6386.875471900594,2626.8268535706193
33554432,1,12909.36,2599.23,12764.529515229759,2628.7245417048202
67108864,1,25756.65,2605.5,25519.83760188809,2629.6744143479555
134217728,1,51034.87,2629.92,51030.453775204754,2630.1496081388013
268435456,1,102030.0,2630.95,102051.68612183808,2630.3872694422575
536870912,1,204241.32,2628.61,204094.15081510472,2630.506116201087
