#header_line 1:mpirun -np 2 --map-by core  --report-bindings ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 0.1999999465006882 4175.484091389821
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.2,0.0,0.1999999465006882,0.0
1,1000,0.2,5.09,0.20023943968952876,4.994021165613028
2,1000,0.2,10.1,0.20047893287836932,9.976110563265024
4,1000,0.2,20.14,0.20095791925605047,19.904664692031375
8,1000,0.2,40.28,0.20191589201141272,39.62045741079074
16,1000,0.2,81.29,0.20383183752213724,78.49607889769582
32,1000,0.23,137.4,0.2076637285435863,154.0952780941885
64,1000,0.23,274.73,0.2153275105864844,297.22165934898027
128,1000,0.32,396.97,0.2306550746722806,554.9411829844411
256,1000,0.35,727.52,0.261310202843873,979.6785476185721
512,1000,6.9,74.24,0.32262045918705784,1587.0041264281335
1024,1000,0.49,2082.7,0.4452409718734274,2299.878188863314
2048,1000,0.75,2712.92,0.6904819972461667,2966.0440216660113
4096,1000,1.13,3637.02,1.1809640479916452,3468.3528317104006
8192,1000,1.86,4398.89,2.161928149482602,3789.210109485151
16384,1000,9.43,1736.65,4.123856352464516,3972.980288270353
32768,1000,4.71,6951.96,8.047712758428343,4071.715900357177
65536,640,18.17,3605.96,15.895425570355998,4122.947178100136
131072,320,14.43,9083.82,31.59085119421131,4149.049330586495
262144,160,12.66,20704.13,62.98170244192193,4162.224738871325
524288,80,22.36,23449.05,125.76340493734317,4168.843872040571
1048576,40,50.19,20891.83,251.32680992818567,4172.161339650239
2097152,20,137.71,15228.45,502.4536199098706,4173.822054215042
4194304,10,639.78,6555.82,1004.7072398732406,4174.652907377453
8388608,5,881.89,9512.11,2009.2144797999804,4175.068458015043
16777216,2,2253.01,7446.59,4018.22895965346,4175.276264358738
33554432,1,11690.4,2870.25,8036.25791936042,4175.380175288164
67108864,1,12926.59,5191.54,16072.315838774339,4175.432132692439
134217728,1,28899.33,4644.32,32144.431677602177,4175.458111879489
268435456,1,66461.15,4038.98,64288.66335525786,4175.471101594244
536870912,1,128521.76,4177.28,128577.12671056921,4175.477596481929
