#header_line 1:mpirun -np 2 --mca pml ob1 --report-bindings  --map-by node --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007,ct1pt-tnode009 
#header_line 3: 34.54457139107419 1143.0520196504565
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,35.1,0.0,34.54457139107419,0.0
1,1000,35.14,0.03,34.54544624189708,0.02894737537902143
2,1000,35.1,0.06,34.54632109271998,0.05789328463173071
4,1000,35.19,0.11,34.54807079436576,0.11578070520372837
8,1000,35.16,0.23,34.551570197657334,0.23153795773201694
16,1000,39.23,0.41,34.55856900424047,0.46298213326011095
32,1000,35.21,0.91,34.57256661740675,0.9255893655256853
64,1000,35.34,1.81,34.60056184373931,1.849680947061855
128,1000,29.26,4.37,34.65655229640442,3.6933852769099556
256,1000,29.2,8.77,34.76853320173464,7.362979580261035
512,1000,36.34,14.09,34.99249501239509,14.631708879822336
1024,1000,36.72,27.88,35.44041863371599,28.893563887696992
2048,1000,77.6,26.39,36.33626587635779,56.362423342254665
4096,1000,78.16,52.4,38.127960361641385,107.42772393670391
8192,1000,80.61,101.62,41.71134933220858,196.39738659028035
16384,1000,93.67,174.92,48.87812727334297,335.20105850977365
32768,1000,94.42,347.06,63.21168315561174,518.3851839434996
65536,640,119.18,549.91,91.87879492014929,713.2875442800106
131072,320,238.42,549.75,149.21301844922436,878.422012785717
262144,160,361.21,725.74,263.88146550737457,993.4157349625375
524288,80,480.37,1091.43,493.2183596236749,1062.9936817437842
1048576,40,897.91,1167.8,951.8921478562756,1101.5701751101349
2097152,20,1454.84,1441.5,1869.239724321477,1121.9277938046464
4194304,10,3695.36,1135.02,3703.9348772518797,1132.3913996867968
8388608,5,7711.3,1087.83,7373.325183112685,1137.6967367738837
16777216,2,17273.77,971.25,14712.105794834297,1140.3680910105202
33554432,1,28933.71,1159.7,29389.66701827752,1141.7084779876002
67108864,1,55956.59,1199.3,58744.789465163965,1142.379853787645
134217728,1,108216.44,1240.27,117455.03435893686,1142.7158378740683
268435456,1,235092.45,1141.83,234875.52414648264,1142.8839040401133
536870912,1,472146.65,1137.09,469716.5037215742,1142.9679556633841
