#header_line 1:mpirun -np 2 --map-by node --report-bindings ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007,ct1pt-tnode009 
#header_line 3: 0.9968571428571429 11997.999348434058
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.99,0.0,0.9968571428571429,0.0
1,1000,1.0,1.0,0.9969404900862066,1.0030688992414472
2,1000,1.0,2.0,0.9970238373152702,2.005970093338478
4,1000,1.0,4.01,0.9971905317733977,4.011269534304968
8,1000,1.0,8.03,0.9975239206896525,8.019857803980365
16,1000,1.0,16.0,0.998190698522162,16.029001295732638
32,1000,1.01,31.6,0.9995242541871812,32.01523111214803
64,1000,7.67,8.35,1.0021913655172194,63.860059268192096
128,1000,1.21,105.54,1.007525588177296,127.04391977931148
256,1000,7.93,32.27,1.0181940334974489,251.42555502967542
512,1000,1.5,341.53,1.0395309241377548,492.52984024951587
1024,1000,8.16,125.45,1.0822047054183668,946.2165474545174
2048,1000,2.33,880.51,1.1675522679795909,1754.0970594352866
4096,1000,3.21,1277.72,1.3382473931020387,3060.719580783587
8192,1000,10.97,747.1,1.6796376433469344,4877.242441218565
16384,1000,12.75,1285.34,2.3624181438367264,6935.266748921627
32768,1000,21.48,1525.38,3.7279791448163095,8789.748742442225
65536,640,22.54,2907.87,6.459101146775476,10146.303411383642
131072,320,38.95,3365.49,11.92134515069381,10994.73241846133
262144,160,72.54,3613.87,22.845833158530475,11474.47756363034
524288,80,128.97,4065.34,44.69480917420381,11730.400234096975
1048576,40,198.26,5288.99,88.39276120555047,11862.690854985492
2097152,20,403.46,5197.92,175.78866526824382,11929.961450016483
4194304,10,695.32,6032.17,350.5804733936305,11963.883668131883
8388608,5,1245.66,6734.26,700.1640896444038,11980.917222219106
16777216,2,4392.99,3819.09,1399.3313221459505,11989.452200834918
33554432,1,2757.66,12167.72,2797.665787149044,11993.724251885564
67108864,1,10790.37,6219.33,5594.3347171552305,11995.861419269075
134217728,1,12607.93,10645.5,11187.672577167603,11996.93028860343
268435456,1,25508.71,10523.29,22374.34829719235,11997.464794703525
536870912,1,46988.89,11425.49,44747.69973724184,11997.73206561459
