#header_line 1:mpirun -np 2 --mca pml ob1 --report-bindings  --map-by socket --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 7.550857146319676 3370.2153361413393
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,7.5,0.0,7.550857146319676,0.0
1,1000,7.58,0.13,7.551153863265112,0.13243009189162527
2,1000,7.58,0.26,7.551450580210547,0.2648497767092898
4,1000,7.58,0.53,7.552044014101418,0.5296579300294162
8,1000,7.6,1.05,7.55323088188316,1.0591494057448236
16,1000,7.62,2.1,7.555604617446646,2.1176333080021688
32,1000,7.6,4.21,7.560352088573614,4.232607109444467
64,1000,7.66,8.35,7.569847030827553,8.454596207739137
128,1000,7.89,16.23,7.58883691533543,16.86687979041151
256,1000,7.9,32.41,7.626816684351184,33.56577332260583
512,1000,7.99,64.1,7.702776222382692,66.4695410094133
1024,1000,9.1,112.53,7.854695298445709,130.36788329683898
2048,1000,8.52,240.48,8.158533450571742,251.02550751403467
4096,1000,10.31,397.22,8.766209754823805,467.24868723864193
8192,1000,11.1,737.8,9.981562363327935,820.7132011815353
16384,1000,15.51,1056.28,12.412267580336195,1319.9844342669437
32768,1000,26.08,1256.26,17.273678014352715,1896.99032092488
65536,640,56.8,1153.74,26.996498882385755,2427.57404526851
131072,320,83.36,1572.34,46.44214061845184,2822.2643972600185
262144,160,122.16,2145.84,85.33342409058399,3071.9967327424515
524288,80,193.34,2711.72,163.11599103484832,3214.203565657707
1048576,40,331.29,3165.1,318.68112492337696,3290.3611729502886
2097152,20,631.17,3322.65,629.8113927004342,3329.809565698817
4194304,10,1232.48,3403.14,1252.0719282545488,3349.8906135904435
8388608,5,2444.73,3431.3,2496.592999362778,3360.022239163965
16777216,2,5039.58,3329.09,4985.635141579236,3365.1110688147337
33554432,1,10298.89,3258.06,9963.719426012152,3367.661268381352
67108864,1,20249.42,3314.11,19919.887994877983,3368.937818187319
134217728,1,40337.07,3327.4,39832.22513260965,3369.576456076999
268435456,1,80243.78,3345.25,79656.89940807298,3369.8958658287283
536870912,1,159470.79,3366.58,159306.24795899965,3370.055593413847
