#header_line 1:mpirun -np 2 --map-by socket  --report-bindings ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 0.4133333072222375 5658.45307761807
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.42,0.0,0.4133333072222375,0.0
1,1000,0.41,2.41,0.41351003396827263,2.418321002766107
2,1000,0.41,4.9,0.41368676071430777,4.834575794851701
4,1000,0.41,9.71,0.4140402142063781,9.660897330147264
8,1000,0.42,18.9,0.41474712119051865,19.288862034861747
16,1000,0.41,38.65,0.4161609351587998,38.44666485549557
32,1000,0.57,56.37,0.41898856309536214,76.37439972965747
64,1000,0.57,112.78,0.42464381896848685,150.71454508737236
128,1000,0.9,141.58,0.4359543307147362,293.60873601174507
256,1000,0.99,258.61,0.45857535420723494,558.2506727657914
512,1000,1.17,438.55,0.5038174011922323,1016.2411992686327
1024,1000,1.33,768.19,0.5943014951622272,1723.0311690878002
2048,1000,2.12,966.22,0.7752696831022169,2641.661404590198
4096,1000,3.01,1359.99,1.1372060589821964,3601.809863434895
8192,1000,4.84,1693.39,1.8610788107421552,4401.748035986299
16384,1000,7.48,2191.65,3.308824314262073,4951.607714371479
32768,1000,12.91,2538.41,6.204315321301908,5281.485273241075
65536,640,24.24,2703.82,11.995297335381577,5463.474407315745
131072,320,45.23,2898.09,23.57726136354092,5559.254655533713
262144,160,13.17,19908.8,46.7411894198596,5608.415259724202
524288,80,22.89,22905.78,93.06904553249696,5633.323056020105
1048576,40,51.79,20246.0,185.7247577577717,5645.8601031941425
2097152,20,139.33,15051.44,371.0361822083211,5652.1495761363185
4194304,10,295.87,14176.1,741.6590311094201,5655.29957037791
8388608,5,618.33,13566.49,1482.904728911618,5656.875884505974
16777216,2,1873.03,8957.26,2965.3961245160135,5657.664371143074
33554432,1,5462.08,6143.16,5930.378915724805,5658.058696895089
67108864,1,11870.08,5653.61,11860.344498142387,5658.25588038449
134217728,1,23739.56,5653.76,23720.27566297755,5658.354477283168
268435456,1,47519.89,5648.91,47440.137992647884,5658.40377702108
536870912,1,94896.54,5657.43,94879.86265198854,5658.428427212189
