#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.0
1,1000,0.23,4.3
2,1000,0.23,8.59
4,1000,0.23,17.19
8,1000,0.23,34.38
16,1000,0.23,68.5
32,1000,0.24,132.58
64,1000,0.24,264.22
128,1000,0.26,494.72
256,1000,0.28,908.06
512,1000,0.42,1227.85
1024,1000,0.45,2261.29
2048,1000,0.6,3419.92
4096,1000,0.84,4861.44
8192,1000,1.44,5707.43
16384,1000,2.33,7019.62
32768,1000,3.5,9361.86
65536,640,5.68,11531.83
131072,320,8.61,15221.53
262144,160,14.93,17558.41
524288,80,40.43,12968.61
1048576,40,81.04,12939.61
2097152,20,153.55,13657.34
4194304,10,377.69,11105.09
8388608,5,1107.79,7572.41
16777216,2,2444.74,6862.57
33554432,1,5923.15,5664.97
67108864,1,11807.2,5683.72
134217728,1,23794.62,5640.67
268435456,1,49410.07,5432.81
536870912,1,103031.56,5210.74
