#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,11.37,0.0
1,1000,11.48,0.09
2,1000,5.0,0.4
4,1000,11.47,0.35
8,1000,4.98,1.61
16,1000,11.47,1.39
32,1000,11.48,2.79
64,1000,11.48,5.58
128,1000,11.54,11.09
256,1000,5.09,50.29
512,1000,11.6,44.13
1024,1000,12.2,83.91
2048,1000,18.53,110.53
4096,1000,12.87,318.26
8192,1000,13.21,620.08
16384,1000,15.42,1062.83
32768,1000,33.73,971.35
65536,640,48.57,1349.39
131072,320,81.01,1618.05
262144,160,138.68,1890.23
524288,80,170.25,3079.47
1048576,40,148.84,7045.15
2097152,20,935.33,2242.14
4194304,10,1249.89,3355.74
8388608,5,2762.53,3036.57
16777216,2,6414.61,2615.47
33554432,1,12909.36,2599.23
67108864,1,25756.65,2605.5
134217728,1,51034.87,2629.92
268435456,1,102030.0,2630.95
536870912,1,204241.32,2628.61
