#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.53,0.0
1,1000,15.53,0.06
2,1000,15.54,0.13
4,1000,15.53,0.26
8,1000,15.46,0.52
16,1000,15.48,1.03
32,1000,15.54,2.06
64,1000,15.52,4.12
128,1000,16.2,7.9
256,1000,16.13,15.87
512,1000,16.2,31.61
1024,1000,16.92,60.5
2048,1000,38.71,52.91
4096,1000,38.46,106.5
8192,1000,46.05,177.9
16384,1000,40.93,400.29
32768,1000,44.44,737.3
65536,640,54.62,1199.87
131072,320,112.08,1169.48
262144,160,144.42,1815.17
524288,80,219.18,2392.08
1048576,40,390.71,2683.79
2097152,20,784.35,2673.76
4194304,10,1726.62,2429.2
8388608,5,3663.58,2289.73
16777216,2,7447.67,2252.68
33554432,1,14768.38,2272.05
67108864,1,29107.02,2305.59
134217728,1,56533.75,2374.12
268435456,1,114236.43,2349.82
536870912,1,227570.35,2359.14
