#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.0
1,1000,1.0,1.0
2,1000,1.0,2.0
4,1000,1.0,4.01
8,1000,1.0,8.03
16,1000,1.0,16.0
32,1000,1.01,31.6
64,1000,7.67,8.35
128,1000,1.21,105.54
256,1000,7.93,32.27
512,1000,1.5,341.53
1024,1000,8.16,125.45
2048,1000,2.33,880.51
4096,1000,3.21,1277.72
8192,1000,10.97,747.1
16384,1000,12.75,1285.34
32768,1000,21.48,1525.38
65536,640,22.54,2907.87
131072,320,38.95,3365.49
262144,160,72.54,3613.87
524288,80,128.97,4065.34
1048576,40,198.26,5288.99
2097152,20,403.46,5197.92
4194304,10,695.32,6032.17
8388608,5,1245.66,6734.26
16777216,2,4392.99,3819.09
33554432,1,2757.66,12167.72
67108864,1,10790.37,6219.33
134217728,1,12607.93,10645.5
268435456,1,25508.71,10523.29
536870912,1,46988.89,11425.49
