#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.93,0.0
1,1000,7.98,0.13
2,1000,8.14,0.25
4,1000,8.07,0.5
8,1000,8.0,1.0
16,1000,7.97,2.01
32,1000,8.29,3.86
64,1000,8.13,7.87
128,1000,8.4,15.25
256,1000,8.47,30.22
512,1000,8.52,60.07
1024,1000,9.34,109.69
2048,1000,9.07,225.79
4096,1000,10.52,389.47
8192,1000,11.62,705.09
16384,1000,15.77,1038.94
32768,1000,26.61,1231.36
65536,640,58.05,1128.95
131072,320,84.52,1550.76
262144,160,124.96,2097.79
524288,80,196.13,2673.21
1048576,40,334.45,3135.26
2097152,20,636.96,3292.42
4194304,10,1241.83,3377.51
8388608,5,2465.99,3401.72
16777216,2,5078.24,3303.74
33554432,1,10410.08,3223.26
67108864,1,20588.87,3259.47
134217728,1,40489.35,3314.89
268435456,1,80888.3,3318.59
536870912,1,161685.62,3320.46
