#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.4,0.0
1,1000,0.4,2.49
2,1000,0.4,5.01
4,1000,0.4,9.93
8,1000,0.4,19.78
16,1000,0.4,39.75
32,1000,0.57,55.75
64,1000,0.57,111.57
128,1000,0.93,137.14
256,1000,1.01,252.89
512,1000,1.12,457.18
1024,1000,1.29,790.83
2048,1000,2.11,968.74
4096,1000,2.99,1370.68
8192,1000,4.83,1695.18
16384,1000,7.49,2187.93
32768,1000,13.19,2484.5
65536,640,24.62,2661.37
131072,320,47.66,2750.11
262144,160,13.18,19888.03
524288,80,22.78,23011.14
1048576,40,49.37,21237.98
2097152,20,140.81,14892.99
4194304,10,292.3,14349.46
8388608,5,616.89,13598.12
16777216,2,2086.06,8042.53
33554432,1,5633.83,5955.88
67108864,1,11792.74,5690.69
134217728,1,23639.37,5677.72
268435456,1,47301.37,5675.0
536870912,1,94549.21,5678.22
