#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.2,0.0
1,1000,0.19,5.18
2,1000,0.2,10.16
4,1000,0.2,19.63
8,1000,0.2,40.07
16,1000,0.2,79.2
32,1000,0.24,133.85
64,1000,0.24,267.1
128,1000,0.31,413.33
256,1000,0.35,738.18
512,1000,0.4,1266.43
1024,1000,0.49,2087.73
2048,1000,0.76,2708.29
4096,1000,1.13,3625.49
8192,1000,1.87,4385.54
16384,1000,2.96,5537.97
32768,1000,4.74,6916.29
65536,640,8.09,8103.12
131072,320,14.47,9055.81
262144,160,12.66,20702.06
524288,80,22.27,23545.1
1048576,40,49.83,21044.99
2097152,20,140.0,14979.56
4194304,10,298.06,14072.1
8388608,5,827.71,10134.77
16777216,2,2269.75,7391.65
33554432,1,5182.54,6474.52
67108864,1,10343.34,6488.12
134217728,1,20810.36,6449.56
268435456,1,41590.53,6454.24
536870912,1,83265.81,6447.68
