#header_line 1:mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 0.266857143069442 5028.634950376975
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.26,0.0,0.266857143069442,0.0
1,1000,0.27,3.76,0.2670560041937567,3.7445329230436313
2,1000,0.27,7.31,0.26725486531807136,7.483493322449771
4,1000,0.27,14.78,0.2676525875667007,14.944746233784029
8,1000,0.27,29.41,0.2684480320639594,29.80092622952792
16,1000,0.27,59.35,0.2700389210584767,59.25071814568246
32,1000,0.28,113.86,0.2732206990475114,117.12143374040411
64,1000,0.28,226.74,0.27958425502558076,228.911316891376
128,1000,0.29,440.01,0.29231136698171956,437.88923202567355
256,1000,0.31,831.6,0.31776559089399703,805.6253015934587
512,1000,0.57,896.49,0.36867403871855203,1388.760656377174
1024,1000,0.6,1697.93,0.4704909343676621,2176.450012530532
2048,1000,0.72,2826.03,0.6741247256658821,3038.0134744012557
4096,1000,0.95,4320.64,1.0813923082623222,3787.7095746887812
8192,1000,1.47,5557.03,1.8959274734552023,4320.840387987322
16384,1000,2.35,6959.48,3.5249978038409626,4647.9461581926125
32768,1000,3.55,9229.86,6.783138464612484,4830.802167897661
65536,640,5.86,11179.51,13.299419786155525,4927.733769876329
131072,320,8.73,15013.08,26.331982429241606,4977.6730769212745
262144,160,15.7,16692.49,52.397107715413775,5003.024239883464
524288,80,42.17,12431.46,104.5273582877581,5015.796903205606
1048576,40,84.14,12462.75,208.78785943244677,5022.207722471844
2097152,20,161.74,12966.12,417.3088617218241,5025.419281409726
4194304,10,397.88,10541.62,834.3508663005787,5027.026601646726
8388608,5,1041.04,8057.9,1668.434875458088,5027.830647388506
16777216,2,2148.13,7810.16,3336.6028937731066,5028.2327667191885
33554432,1,6046.88,5549.05,6672.938930403144,5028.43385050623
67108864,1,12497.42,5369.82,13345.611003663218,5028.534398431018
134217728,1,25477.03,5268.19,26690.955150183367,5028.584673901336
268435456,1,52527.66,5110.36,53381.643443223664,5028.609812013488
536870912,1,107675.26,4986.02,106763.02002930426,5028.622381163815
