#header_line 1:mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 0.44999997335382536 4444.432950275848
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.45,0.0,0.44999997335382536,0.0
1,1000,0.45,2.2,0.45022497393571914,2.2211117949729173
2,1000,0.45,4.42,0.4504499745176129,4.440004691179749
4,1000,0.45,8.84,0.4508999756814005,8.871147074149198
8,1000,0.45,17.61,0.4517999780089757,17.70695083973879
16,1000,0.45,35.59,0.453599982664126,35.273369954794305
32,1000,0.49,65.16,0.4571999919744266,69.99125232222207
64,1000,0.49,130.41,0.46440001059502795,137.81222769137725
128,1000,0.58,221.27,0.4788000478362305,267.3349774680501
256,1000,0.62,409.87,0.5076001223186356,504.33399982378495
512,1000,0.95,540.56,0.5652002712834459,905.8735920939321
1024,1000,0.99,1029.3,0.6804005692130664,1504.9958014943047
2048,1000,1.13,1812.56,0.9108011650723074,2248.569807041707
4096,1000,1.64,2503.46,1.3716023567907896,2986.288248719277
8192,1000,2.05,3990.81,2.2932047402277536,3572.293330941919
16384,1000,3.5,4684.49,4.136409507101682,3960.923107799357
32768,1000,5.36,6108.42,7.822819040849538,4188.771314904592
65536,640,9.23,7100.11,15.195638108345252,4312.816581490478
131072,320,15.24,8599.49,29.941276243336677,4377.6357071342145
262144,160,27.87,9405.47,59.43255251331953,4410.78144744415
524288,80,67.91,7720.66,118.41510505328523,4427.54325779703
1048576,40,132.2,7931.6,236.38021013321662,4435.972027476643
2097152,20,258.65,8108.11,472.31042029307946,4440.198458248431
4194304,10,509.81,8227.27,944.170840612805,4442.314695164412
8388608,5,1057.44,7932.93,1887.8916812522564,4443.373570265301
16777216,2,2290.18,7325.72,3775.333362531159,4443.903197134299
33554432,1,7884.77,4255.6,7550.216725088963,4444.168057918183
67108864,1,15809.71,4244.79,15099.983450204574,4444.30050014994
134217728,1,31621.18,4244.55,30199.516900435792,4444.366724226081
268435456,1,62507.54,4294.45,60398.58380089823,4444.399837004256
536870912,1,120113.13,4469.71,120796.71760182311,4444.4163935783745
