#header_line 1:mpirun -np 2 --map-by core  --report-bindings ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 0.2317142877633717 6131.704890042739
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.23,0.0,0.2317142877633717,0.0
1,1000,0.22,4.48,0.2318773745423235,4.312624299691968
2,1000,0.25,8.07,0.23204046132127526,8.619186449689344
4,1000,0.23,17.6,0.23236663487917886,17.2141753573177
8,1000,0.24,33.07,0.233018981994986,34.33196699903247
16,1000,0.24,65.81,0.2343236762266003,68.28161907347068
32,1000,0.29,111.81,0.23693306468982891,135.0592414861618
64,1000,0.28,226.08,0.24215184161628614,264.29697818038653
128,1000,0.36,352.25,0.2525893954692006,506.75128210442875
256,1000,0.4,636.81,0.2734645031750295,936.1361238030537
512,1000,0.47,1098.58,0.31521471858668737,1624.2896343661523
1024,1000,0.57,1799.29,0.39871514941000297,2568.249542349368
2048,1000,0.79,2598.89,0.5657160110566343,3620.190979171302
4096,1000,1.18,3482.07,0.8997177343498969,4552.5389170633825
8192,1000,1.92,4274.91,1.5677211809364222,5225.418970933851
16384,1000,2.97,5514.51,2.9037280741094724,5642.401623652282
32768,1000,4.76,6879.77,5.575741860455573,5876.886129251803
65536,640,8.11,8078.64,10.919769433147776,6001.591920160931
131072,320,14.65,8949.92,21.607824578532178,6065.950763512897
262144,160,14.17,18495.75,42.98393486930099,6098.65059578858
524288,80,25.9,20240.14,85.7361554508386,6115.133075924176
1048576,40,61.35,17090.38,171.24059661391382,6123.407770904718
2097152,20,160.76,13045.52,342.2494789400643,6127.553521760829
4194304,10,354.28,11839.04,684.2672435923652,6129.628503010222
8388608,5,976.12,8593.79,1368.302772896967,6130.666520714316
16777216,2,2542.9,6597.67,2736.3738315061705,6131.185661414321
33554432,1,5465.65,6139.14,5472.515948724578,6131.445264736081
67108864,1,11047.75,6074.44,10944.800183161393,6131.575074641123
134217728,1,21992.37,6102.92,21889.36865203502,6131.639981654838
268435456,1,44005.03,6100.11,43778.50558978228,6131.672435677012
536870912,1,87453.73,6138.91,87556.77946527679,6131.688662816931
