#header_line 1:mpirun -np 2 --map-by node --report-bindings ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007,ct1pt-tnode009 
#header_line 3: 1.3999999988336294 12067.045283702228
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,1.4,0.0,1.3999999988336294,0.0
1,1000,1.4,0.71,1.4000828691615754,0.7142434366037484
2,1000,1.4,1.43,1.4001657394895215,1.428402326662534
4,1000,1.4,2.86,1.4003314801454134,2.856466527185857
8,1000,1.4,5.71,1.4006629614571975,5.711581029941064
16,1000,1.4,11.41,1.4013259240807658,11.41775779998903
32,1000,1.43,22.35,1.4026518493279023,22.8139292122512
64,1000,1.72,37.21,1.4053036998221753,45.54175727858573
128,1000,1.77,72.51,1.4106074008107212,90.74105234839567
256,1000,2.05,125.11,1.421214802787813,180.12759190084282
512,1000,2.11,242.27,1.4424296067419968,354.9566631237208
1024,1000,2.35,436.11,1.4848592146503643,689.6276696785146
2048,1000,3.04,674.34,1.569718430467099,1304.6925870588009
4096,1000,3.92,1046.02,1.739436862100569,2354.785096973058
8192,1000,5.49,1490.92,2.0788737253675085,3940.595284858775
16384,1000,7.23,2267.37,2.7577474519013876,5941.080641268911
32768,1000,10.08,3250.63,4.115494904969145,7962.104377880568
65536,640,14.45,4536.34,6.830989811104661,9593.92442563195
131072,320,23.56,5562.6,12.261979623375694,10689.3017298879
262144,160,33.33,7863.97,23.123959247917757,11336.466960068929
524288,80,58.13,9019.47,44.847918497001885,11690.35303243893
1048576,40,99.09,10582.16,88.29583699517015,11875.71278198946
2097152,20,185.03,11334.06,175.19167399150666,11970.614540173128
4194304,10,358.04,11714.75,348.98334798417966,12018.636488610164
8388608,5,699.63,11990.04,696.5666959695258,12042.79223875928
16777216,2,1386.46,12100.73,1391.7333919402179,12054.90656267926
33554432,1,2760.51,12155.16,2782.066783881602,12060.972868948927
67108864,1,5506.7,12186.76,5562.7335677643705,12064.008312188616
134217728,1,11011.69,12188.66,11124.067135529907,12065.526606839054
268435456,1,22073.36,12161.06,22246.73427106098,12066.28589748503
536870912,1,44612.61,12034.06,44492.068542123125,12066.665578646098
