#header_line 1:mpirun -np 2 --map-by socket  --report-bindings ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 0.4299999731468648 5314.523286118658
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.43,0.0,0.4299999731468648,0.0
1,1000,0.43,2.34,0.4301881367781376,2.324564334780188
2,1000,0.43,4.68,0.4303763004094104,4.64709603688082
4,1000,0.43,9.35,0.43075262767195605,9.286072197907147
8,1000,0.43,18.75,0.43150528219704726,18.53974987111929
16,1000,0.43,37.48,0.43301059124722974,36.950597337386405
32,1000,0.58,55.24,0.43602120934759475,73.39092528980557
64,1000,0.59,107.69,0.44204244554832467,144.78247653483186
128,1000,1.07,119.75,0.4540849179497846,281.8856009971135
256,1000,1.13,227.52,0.47816986275270446,535.3746020844391
512,1000,1.21,423.6,0.5263397523585441,972.7557109371138
1024,1000,1.44,710.81,0.6226795315702234,1644.5056374629157
2048,1000,2.1,975.98,0.8153590899935821,2511.7767436873983
4096,1000,3.0,1365.95,1.2007182068402993,3411.2916558321044
8192,1000,4.69,1746.33,1.9714364405337341,4155.345732466095
16384,1000,7.13,2298.33,3.5128729079206034,4663.988828932124
32768,1000,12.9,2540.32,6.595745842694342,4968.05073777894
65536,640,24.11,2718.43,12.761491712241819,5135.449795193829
131072,320,44.1,2972.14,25.09298345133677,5223.452215404758
262144,160,14.87,17630.67,49.75596692952668,5268.594224513722
524288,80,27.17,19298.78,99.0819338859065,5291.459092872785
1048576,40,62.37,16811.9,197.73386779866613,5302.96611133742
2097152,20,157.4,13323.35,395.0377356241854,5308.738408715215
4194304,10,338.14,12404.03,789.6454712752239,5311.62927234482
8388608,5,734.56,11419.95,1578.8609425773009,5313.075885141984
16777216,2,2337.32,7177.97,3157.291885181455,5313.7994870676275
33554432,1,6292.9,5332.11,6314.153770389763,5314.161361947436
67108864,1,13114.35,5117.21,12627.87754080638,5314.342317870991
134217728,1,26355.47,5092.6,25255.325081639614,5314.432800454231
268435456,1,51723.88,5189.78,50510.220163306076,5314.478042901287
536870912,1,100613.82,5335.96,101020.010326639,5314.500664413682
