#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.35,0.0
1,1000,1.35,0.74
2,1000,1.36,1.47
4,1000,1.35,2.96
8,1000,1.35,5.93
16,1000,1.35,11.87
32,1000,1.37,23.28
64,1000,1.56,40.95
128,1000,1.62,78.88
256,1000,1.87,136.91
512,1000,1.95,262.26
1024,1000,2.13,481.39
2048,1000,2.82,726.71
4096,1000,3.57,1147.92
8192,1000,4.62,1772.44
16384,1000,6.29,2605.81
32768,1000,10.6,3090.76
65536,640,13.43,4880.78
131072,320,22.75,5761.16
262144,160,33.27,7879.75
524288,80,55.89,9380.76
1048576,40,98.57,10637.77
2097152,20,185.53,11303.49
4194304,10,353.95,11850.04
8388608,5,698.36,12011.8
16777216,2,1387.13,12094.94
33554432,1,2765.97,12131.15
67108864,1,5501.65,12197.94
134217728,1,11026.11,12172.71
268435456,1,21960.05,12223.81
536870912,1,44122.41,12167.76
