#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.0
1,1000,0.45,2.2
2,1000,0.45,4.42
4,1000,0.45,8.84
8,1000,0.45,17.61
16,1000,0.45,35.59
32,1000,0.49,65.16
64,1000,0.49,130.41
128,1000,0.58,221.27
256,1000,0.62,409.87
512,1000,0.95,540.56
1024,1000,0.99,1029.3
2048,1000,1.13,1812.56
4096,1000,1.64,2503.46
8192,1000,2.05,3990.81
16384,1000,3.5,4684.49
32768,1000,5.36,6108.42
65536,640,9.23,7100.11
131072,320,15.24,8599.49
262144,160,27.87,9405.47
524288,80,67.91,7720.66
1048576,40,132.2,7931.6
2097152,20,258.65,8108.11
4194304,10,509.81,8227.27
8388608,5,1057.44,7932.93
16777216,2,2290.18,7325.72
33554432,1,7884.77,4255.6
67108864,1,15809.71,4244.79
134217728,1,31621.18,4244.55
268435456,1,62507.54,4294.45
536870912,1,120113.13,4469.71
