#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.15,0.0
1,1000,15.73,0.06
2,1000,15.71,0.13
4,1000,15.7,0.25
8,1000,15.71,0.51
16,1000,15.76,1.01
32,1000,15.74,2.03
64,1000,15.83,4.04
128,1000,16.17,7.92
256,1000,16.29,15.71
512,1000,17.12,29.9
1024,1000,17.55,58.34
2048,1000,39.22,52.22
4096,1000,39.25,104.36
8192,1000,40.07,204.43
16384,1000,42.05,389.62
32768,1000,49.22,665.78
65536,640,80.24,816.71
131072,320,136.26,961.96
262144,160,204.97,1278.93
524288,80,309.12,1696.07
1048576,40,502.05,2088.59
2097152,20,898.21,2334.82
4194304,10,1887.7,2221.92
8388608,5,3872.79,2166.04
16777216,2,7867.01,2132.6
33554432,1,15578.42,2153.91
67108864,1,31258.69,2146.89
134217728,1,62340.99,2152.96
268435456,1,122996.54,2182.46
536870912,1,246741.65,2175.84
