#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.0
1,1000,0.43,2.34
2,1000,0.43,4.68
4,1000,0.43,9.35
8,1000,0.43,18.75
16,1000,0.43,37.48
32,1000,0.58,55.24
64,1000,0.59,107.69
128,1000,1.07,119.75
256,1000,1.13,227.52
512,1000,1.21,423.6
1024,1000,1.44,710.81
2048,1000,2.1,975.98
4096,1000,3.0,1365.95
8192,1000,4.69,1746.33
16384,1000,7.13,2298.33
32768,1000,12.9,2540.32
65536,640,24.11,2718.43
131072,320,44.1,2972.14
262144,160,14.87,17630.67
524288,80,27.17,19298.78
1048576,40,62.37,16811.9
2097152,20,157.4,13323.35
4194304,10,338.14,12404.03
8388608,5,734.56,11419.95
16777216,2,2337.32,7177.97
33554432,1,6292.9,5332.11
67108864,1,13114.35,5117.21
134217728,1,26355.47,5092.6
268435456,1,51723.88,5189.78
536870912,1,100613.82,5335.96
